"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Age Group","Age Group Code",Deaths
,"Esophagus","21010","Wyoming","56","45-49 years","45-49",26
,"Esophagus","21010","Wyoming","56","50-54 years","50-54",34
,"Esophagus","21010","Wyoming","56","55-59 years","55-59",51
,"Esophagus","21010","Wyoming","56","60-64 years ","60-64",99
,"Esophagus","21010","Wyoming","56","65-69 years","65-69",114
,"Esophagus","21010","Wyoming","56","70-74 years","70-74",102
,"Esophagus","21010","Wyoming","56","75-79 years","75-79",98
,"Esophagus","21010","Wyoming","56","80-84 years","80-84",74
,"Esophagus","21010","Wyoming","56","85+ years","85+",57
,"Gallbladder","21080","Alabama","01","45-49 years","45-49",19
,"Gallbladder","21080","Alabama","01","50-54 years","50-54",34
,"Gallbladder","21080","Alabama","01","55-59 years","55-59",50
,"Gallbladder","21080","Alabama","01","60-64 years ","60-64",76
,"Gallbladder","21080","Alabama","01","65-69 years","65-69",77
,"Gallbladder","21080","Alabama","01","70-74 years","70-74",85
,"Gallbladder","21080","Alabama","01","75-79 years","75-79",114
,"Gallbladder","21080","Alabama","01","80-84 years","80-84",71
,"Gallbladder","21080","Alabama","01","85+ years","85+",89
,"Gallbladder","21080","Arizona","04","45-49 years","45-49",23
,"Gallbladder","21080","Arizona","04","50-54 years","50-54",43
,"Gallbladder","21080","Arizona","04","55-59 years","55-59",63
,"Gallbladder","21080","Arizona","04","60-64 years ","60-64",102
,"Gallbladder","21080","Arizona","04","65-69 years","65-69",116
,"Gallbladder","21080","Arizona","04","70-74 years","70-74",140
,"Gallbladder","21080","Arizona","04","75-79 years","75-79",132
,"Gallbladder","21080","Arizona","04","80-84 years","80-84",134
,"Gallbladder","21080","Arizona","04","85+ years","85+",129
,"Gallbladder","21080","Arkansas","05","55-59 years","55-59",38
,"Gallbladder","21080","Arkansas","05","60-64 years ","60-64",45
,"Gallbladder","21080","Arkansas","05","65-69 years","65-69",67
,"Gallbladder","21080","Arkansas","05","70-74 years","70-74",75
,"Gallbladder","21080","Arkansas","05","75-79 years","75-79",63
,"Gallbladder","21080","Arkansas","05","80-84 years","80-84",64
,"Gallbladder","21080","Arkansas","05","85+ years","85+",74
,"Gallbladder","21080","California","06","35-39 years","35-39",20
,"Gallbladder","21080","California","06","40-44 years","40-44",78
,"Gallbladder","21080","California","06","45-49 years","45-49",155
,"Gallbladder","21080","California","06","50-54 years","50-54",253
,"Gallbladder","21080","California","06","55-59 years","55-59",416
,"Gallbladder","21080","California","06","60-64 years ","60-64",590
,"Gallbladder","21080","California","06","65-69 years","65-69",663
,"Gallbladder","21080","California","06","70-74 years","70-74",773
,"Gallbladder","21080","California","06","75-79 years","75-79",815
,"Gallbladder","21080","California","06","80-84 years","80-84",809
,"Gallbladder","21080","California","06","85+ years","85+",917
,"Gallbladder","21080","Colorado","08","50-54 years","50-54",22
,"Gallbladder","21080","Colorado","08","55-59 years","55-59",46
,"Gallbladder","21080","Colorado","08","60-64 years ","60-64",64
,"Gallbladder","21080","Colorado","08","65-69 years","65-69",67
,"Gallbladder","21080","Colorado","08","70-74 years","70-74",74
,"Gallbladder","21080","Colorado","08","75-79 years","75-79",84
,"Gallbladder","21080","Colorado","08","80-84 years","80-84",79
,"Gallbladder","21080","Colorado","08","85+ years","85+",83
,"Gallbladder","21080","Connecticut","09","45-49 years","45-49",18
,"Gallbladder","21080","Connecticut","09","50-54 years","50-54",22
,"Gallbladder","21080","Connecticut","09","55-59 years","55-59",26
,"Gallbladder","21080","Connecticut","09","60-64 years ","60-64",39
,"Gallbladder","21080","Connecticut","09","65-69 years","65-69",44
,"Gallbladder","21080","Connecticut","09","70-74 years","70-74",82
,"Gallbladder","21080","Connecticut","09","75-79 years","75-79",74
,"Gallbladder","21080","Connecticut","09","80-84 years","80-84",87
,"Gallbladder","21080","Connecticut","09","85+ years","85+",127
,"Gallbladder","21080","Delaware","10","55-59 years","55-59",16
,"Gallbladder","21080","Delaware","10","60-64 years ","60-64",20
,"Gallbladder","21080","Delaware","10","65-69 years","65-69",26
,"Gallbladder","21080","Delaware","10","70-74 years","70-74",29
,"Gallbladder","21080","Delaware","10","75-79 years","75-79",27
,"Gallbladder","21080","Delaware","10","80-84 years","80-84",26
,"Gallbladder","21080","Delaware","10","85+ years","85+",26
,"Gallbladder","21080","District of Columbia","11","70-74 years","70-74",22
,"Gallbladder","21080","District of Columbia","11","85+ years","85+",18
,"Gallbladder","21080","Florida","12","40-44 years","40-44",31
,"Gallbladder","21080","Florida","12","45-49 years","45-49",64
,"Gallbladder","21080","Florida","12","50-54 years","50-54",114
,"Gallbladder","21080","Florida","12","55-59 years","55-59",173
,"Gallbladder","21080","Florida","12","60-64 years ","60-64",268
,"Gallbladder","21080","Florida","12","65-69 years","65-69",365
,"Gallbladder","21080","Florida","12","70-74 years","70-74",432
,"Gallbladder","21080","Florida","12","75-79 years","75-79",506
,"Gallbladder","21080","Florida","12","80-84 years","80-84",436
,"Gallbladder","21080","Florida","12","85+ years","85+",492
,"Gallbladder","21080","Georgia","13","40-44 years","40-44",17
,"Gallbladder","21080","Georgia","13","45-49 years","45-49",46
,"Gallbladder","21080","Georgia","13","50-54 years","50-54",70
,"Gallbladder","21080","Georgia","13","55-59 years","55-59",99
,"Gallbladder","21080","Georgia","13","60-64 years ","60-64",141
,"Gallbladder","21080","Georgia","13","65-69 years","65-69",156
,"Gallbladder","21080","Georgia","13","70-74 years","70-74",151
,"Gallbladder","21080","Georgia","13","75-79 years","75-79",161
,"Gallbladder","21080","Georgia","13","80-84 years","80-84",115
,"Gallbladder","21080","Georgia","13","85+ years","85+",146
,"Gallbladder","21080","Hawaii","15","55-59 years","55-59",17
,"Gallbladder","21080","Hawaii","15","60-64 years ","60-64",16
,"Gallbladder","21080","Hawaii","15","65-69 years","65-69",26
,"Gallbladder","21080","Hawaii","15","70-74 years","70-74",25
,"Gallbladder","21080","Hawaii","15","75-79 years","75-79",30
,"Gallbladder","21080","Hawaii","15","80-84 years","80-84",27
,"Gallbladder","21080","Hawaii","15","85+ years","85+",34
,"Gallbladder","21080","Idaho","16","55-59 years","55-59",17
,"Gallbladder","21080","Idaho","16","60-64 years ","60-64",20
,"Gallbladder","21080","Idaho","16","70-74 years","70-74",25
,"Gallbladder","21080","Idaho","16","75-79 years","75-79",35
,"Gallbladder","21080","Idaho","16","80-84 years","80-84",19
,"Gallbladder","21080","Idaho","16","85+ years","85+",38
,"Gallbladder","21080","Illinois","17","40-44 years","40-44",27
,"Gallbladder","21080","Illinois","17","45-49 years","45-49",51
,"Gallbladder","21080","Illinois","17","50-54 years","50-54",89
,"Gallbladder","21080","Illinois","17","55-59 years","55-59",174
,"Gallbladder","21080","Illinois","17","60-64 years ","60-64",244
,"Gallbladder","21080","Illinois","17","65-69 years","65-69",275
,"Gallbladder","21080","Illinois","17","70-74 years","70-74",368
,"Gallbladder","21080","Illinois","17","75-79 years","75-79",348
,"Gallbladder","21080","Illinois","17","80-84 years","80-84",342
,"Gallbladder","21080","Illinois","17","85+ years","85+",398
,"Gallbladder","21080","Indiana","18","50-54 years","50-54",39
,"Gallbladder","21080","Indiana","18","55-59 years","55-59",62
,"Gallbladder","21080","Indiana","18","60-64 years ","60-64",112
,"Gallbladder","21080","Indiana","18","65-69 years","65-69",124
,"Gallbladder","21080","Indiana","18","70-74 years","70-74",154
,"Gallbladder","21080","Indiana","18","75-79 years","75-79",158
,"Gallbladder","21080","Indiana","18","80-84 years","80-84",133
,"Gallbladder","21080","Indiana","18","85+ years","85+",190
,"Gallbladder","21080","Iowa","19","55-59 years","55-59",33
,"Gallbladder","21080","Iowa","19","60-64 years ","60-64",50
,"Gallbladder","21080","Iowa","19","65-69 years","65-69",72
,"Gallbladder","21080","Iowa","19","70-74 years","70-74",99
,"Gallbladder","21080","Iowa","19","75-79 years","75-79",94
,"Gallbladder","21080","Iowa","19","80-84 years","80-84",80
,"Gallbladder","21080","Iowa","19","85+ years","85+",137
,"Gallbladder","21080","Kansas","20","50-54 years","50-54",20
,"Gallbladder","21080","Kansas","20","55-59 years","55-59",25
,"Gallbladder","21080","Kansas","20","60-64 years ","60-64",35
,"Gallbladder","21080","Kansas","20","65-69 years","65-69",39
,"Gallbladder","21080","Kansas","20","70-74 years","70-74",53
,"Gallbladder","21080","Kansas","20","75-79 years","75-79",74
,"Gallbladder","21080","Kansas","20","80-84 years","80-84",50
,"Gallbladder","21080","Kansas","20","85+ years","85+",72
,"Gallbladder","21080","Kentucky","21","50-54 years","50-54",31
,"Gallbladder","21080","Kentucky","21","55-59 years","55-59",47
,"Gallbladder","21080","Kentucky","21","60-64 years ","60-64",64
,"Gallbladder","21080","Kentucky","21","65-69 years","65-69",75
,"Gallbladder","21080","Kentucky","21","70-74 years","70-74",93
,"Gallbladder","21080","Kentucky","21","75-79 years","75-79",96
,"Gallbladder","21080","Kentucky","21","80-84 years","80-84",72
,"Gallbladder","21080","Kentucky","21","85+ years","85+",89
,"Gallbladder","21080","Louisiana","22","50-54 years","50-54",50
,"Gallbladder","21080","Louisiana","22","55-59 years","55-59",67
,"Gallbladder","21080","Louisiana","22","60-64 years ","60-64",78
,"Gallbladder","21080","Louisiana","22","65-69 years","65-69",98
,"Gallbladder","21080","Louisiana","22","70-74 years","70-74",122
,"Gallbladder","21080","Louisiana","22","75-79 years","75-79",115
,"Gallbladder","21080","Louisiana","22","80-84 years","80-84",96
,"Gallbladder","21080","Louisiana","22","85+ years","85+",88
,"Gallbladder","21080","Maine","23","60-64 years ","60-64",22
,"Gallbladder","21080","Maine","23","65-69 years","65-69",24
,"Gallbladder","21080","Maine","23","70-74 years","70-74",34
,"Gallbladder","21080","Maine","23","75-79 years","75-79",34
,"Gallbladder","21080","Maine","23","80-84 years","80-84",40
,"Gallbladder","21080","Maine","23","85+ years","85+",43
,"Gallbladder","21080","Maryland","24","45-49 years","45-49",23
,"Gallbladder","21080","Maryland","24","50-54 years","50-54",45
,"Gallbladder","21080","Maryland","24","55-59 years","55-59",63
,"Gallbladder","21080","Maryland","24","60-64 years ","60-64",89
,"Gallbladder","21080","Maryland","24","65-69 years","65-69",110
,"Gallbladder","21080","Maryland","24","70-74 years","70-74",112
,"Gallbladder","21080","Maryland","24","75-79 years","75-79",130
,"Gallbladder","21080","Maryland","24","80-84 years","80-84",137
,"Gallbladder","21080","Maryland","24","85+ years","85+",142
,"Gallbladder","21080","Massachusetts","25","45-49 years","45-49",18
,"Gallbladder","21080","Massachusetts","25","50-54 years","50-54",48
,"Gallbladder","21080","Massachusetts","25","55-59 years","55-59",60
,"Gallbladder","21080","Massachusetts","25","60-64 years ","60-64",96
,"Gallbladder","21080","Massachusetts","25","65-69 years","65-69",139
,"Gallbladder","21080","Massachusetts","25","70-74 years","70-74",157
,"Gallbladder","21080","Massachusetts","25","75-79 years","75-79",184
,"Gallbladder","21080","Massachusetts","25","80-84 years","80-84",193
,"Gallbladder","21080","Massachusetts","25","85+ years","85+",232
,"Gallbladder","21080","Michigan","26","40-44 years","40-44",18
,"Gallbladder","21080","Michigan","26","45-49 years","45-49",42
,"Gallbladder","21080","Michigan","26","50-54 years","50-54",66
,"Gallbladder","21080","Michigan","26","55-59 years","55-59",113
,"Gallbladder","21080","Michigan","26","60-64 years ","60-64",137
,"Gallbladder","21080","Michigan","26","65-69 years","65-69",173
,"Gallbladder","21080","Michigan","26","70-74 years","70-74",240
,"Gallbladder","21080","Michigan","26","75-79 years","75-79",253
,"Gallbladder","21080","Michigan","26","80-84 years","80-84",201
,"Gallbladder","21080","Michigan","26","85+ years","85+",279
,"Gallbladder","21080","Minnesota","27","45-49 years","45-49",17
,"Gallbladder","21080","Minnesota","27","50-54 years","50-54",29
,"Gallbladder","21080","Minnesota","27","55-59 years","55-59",52
,"Gallbladder","21080","Minnesota","27","60-64 years ","60-64",91
,"Gallbladder","21080","Minnesota","27","65-69 years","65-69",110
,"Gallbladder","21080","Minnesota","27","70-74 years","70-74",142
,"Gallbladder","21080","Minnesota","27","75-79 years","75-79",164
,"Gallbladder","21080","Minnesota","27","80-84 years","80-84",154
,"Gallbladder","21080","Minnesota","27","85+ years","85+",169
,"Gallbladder","21080","Mississippi","28","50-54 years","50-54",21
,"Gallbladder","21080","Mississippi","28","55-59 years","55-59",23
,"Gallbladder","21080","Mississippi","28","60-64 years ","60-64",53
,"Gallbladder","21080","Mississippi","28","65-69 years","65-69",52
,"Gallbladder","21080","Mississippi","28","70-74 years","70-74",50
,"Gallbladder","21080","Mississippi","28","75-79 years","75-79",60
,"Gallbladder","21080","Mississippi","28","80-84 years","80-84",46
,"Gallbladder","21080","Mississippi","28","85+ years","85+",70
,"Gallbladder","21080","Missouri","29","45-49 years","45-49",28
,"Gallbladder","21080","Missouri","29","50-54 years","50-54",41
,"Gallbladder","21080","Missouri","29","55-59 years","55-59",61
,"Gallbladder","21080","Missouri","29","60-64 years ","60-64",77
,"Gallbladder","21080","Missouri","29","65-69 years","65-69",99
,"Gallbladder","21080","Missouri","29","70-74 years","70-74",157
,"Gallbladder","21080","Missouri","29","75-79 years","75-79",171
,"Gallbladder","21080","Missouri","29","80-84 years","80-84",154
,"Gallbladder","21080","Missouri","29","85+ years","85+",169
,"Gallbladder","21080","Montana","30","65-69 years","65-69",17
,"Gallbladder","21080","Montana","30","70-74 years","70-74",26
,"Gallbladder","21080","Montana","30","75-79 years","75-79",20
,"Gallbladder","21080","Montana","30","85+ years","85+",22
,"Gallbladder","21080","Nebraska","31","55-59 years","55-59",19
,"Gallbladder","21080","Nebraska","31","60-64 years ","60-64",28
,"Gallbladder","21080","Nebraska","31","65-69 years","65-69",28
,"Gallbladder","21080","Nebraska","31","70-74 years","70-74",50
,"Gallbladder","21080","Nebraska","31","75-79 years","75-79",57
,"Gallbladder","21080","Nebraska","31","80-84 years","80-84",56
,"Gallbladder","21080","Nebraska","31","85+ years","85+",74
,"Gallbladder","21080","Nevada","32","55-59 years","55-59",18
,"Gallbladder","21080","Nevada","32","60-64 years ","60-64",31
,"Gallbladder","21080","Nevada","32","65-69 years","65-69",40
,"Gallbladder","21080","Nevada","32","70-74 years","70-74",41
,"Gallbladder","21080","Nevada","32","75-79 years","75-79",48
,"Gallbladder","21080","Nevada","32","80-84 years","80-84",39
,"Gallbladder","21080","Nevada","32","85+ years","85+",35
,"Gallbladder","21080","New Hampshire","33","65-69 years","65-69",24
,"Gallbladder","21080","New Hampshire","33","70-74 years","70-74",32
,"Gallbladder","21080","New Hampshire","33","75-79 years","75-79",32
,"Gallbladder","21080","New Hampshire","33","80-84 years","80-84",37
,"Gallbladder","21080","New Hampshire","33","85+ years","85+",35
,"Gallbladder","21080","New Jersey","34","40-44 years","40-44",16
,"Gallbladder","21080","New Jersey","34","45-49 years","45-49",33
,"Gallbladder","21080","New Jersey","34","50-54 years","50-54",69
,"Gallbladder","21080","New Jersey","34","55-59 years","55-59",101
,"Gallbladder","21080","New Jersey","34","60-64 years ","60-64",139
,"Gallbladder","21080","New Jersey","34","65-69 years","65-69",222
,"Gallbladder","21080","New Jersey","34","70-74 years","70-74",237
,"Gallbladder","21080","New Jersey","34","75-79 years","75-79",254
,"Gallbladder","21080","New Jersey","34","80-84 years","80-84",254
,"Gallbladder","21080","New Jersey","34","85+ years","85+",286
,"Gallbladder","21080","New Mexico","35","50-54 years","50-54",23
,"Gallbladder","21080","New Mexico","35","55-59 years","55-59",27
,"Gallbladder","21080","New Mexico","35","60-64 years ","60-64",45
,"Gallbladder","21080","New Mexico","35","65-69 years","65-69",48
,"Gallbladder","21080","New Mexico","35","70-74 years","70-74",64
,"Gallbladder","21080","New Mexico","35","75-79 years","75-79",54
,"Gallbladder","21080","New Mexico","35","80-84 years","80-84",58
,"Gallbladder","21080","New Mexico","35","85+ years","85+",54
,"Gallbladder","21080","New York","36","35-39 years","35-39",16
,"Gallbladder","21080","New York","36","40-44 years","40-44",51
,"Gallbladder","21080","New York","36","45-49 years","45-49",73
,"Gallbladder","21080","New York","36","50-54 years","50-54",167
,"Gallbladder","21080","New York","36","55-59 years","55-59",267
,"Gallbladder","21080","New York","36","60-64 years ","60-64",386
,"Gallbladder","21080","New York","36","65-69 years","65-69",545
,"Gallbladder","21080","New York","36","70-74 years","70-74",581
,"Gallbladder","21080","New York","36","75-79 years","75-79",621
,"Gallbladder","21080","New York","36","80-84 years","80-84",606
,"Gallbladder","21080","New York","36","85+ years","85+",747
,"Gallbladder","21080","North Carolina","37","40-44 years","40-44",19
,"Gallbladder","21080","North Carolina","37","45-49 years","45-49",27
,"Gallbladder","21080","North Carolina","37","50-54 years","50-54",59
,"Gallbladder","21080","North Carolina","37","55-59 years","55-59",116
,"Gallbladder","21080","North Carolina","37","60-64 years ","60-64",152
,"Gallbladder","21080","North Carolina","37","65-69 years","65-69",188
,"Gallbladder","21080","North Carolina","37","70-74 years","70-74",195
,"Gallbladder","21080","North Carolina","37","75-79 years","75-79",224
,"Gallbladder","21080","North Carolina","37","80-84 years","80-84",169
,"Gallbladder","21080","North Carolina","37","85+ years","85+",208
,"Gallbladder","21080","North Dakota","38","70-74 years","70-74",23
,"Gallbladder","21080","North Dakota","38","75-79 years","75-79",18
,"Gallbladder","21080","North Dakota","38","85+ years","85+",22
,"Gallbladder","21080","Ohio","39","45-49 years","45-49",45
,"Gallbladder","21080","Ohio","39","50-54 years","50-54",78
,"Gallbladder","21080","Ohio","39","55-59 years","55-59",109
,"Gallbladder","21080","Ohio","39","60-64 years ","60-64",172
,"Gallbladder","21080","Ohio","39","65-69 years","65-69",220
,"Gallbladder","21080","Ohio","39","70-74 years","70-74",311
,"Gallbladder","21080","Ohio","39","75-79 years","75-79",327
,"Gallbladder","21080","Ohio","39","80-84 years","80-84",311
,"Gallbladder","21080","Ohio","39","85+ years","85+",372
,"Gallbladder","21080","Oklahoma","40","50-54 years","50-54",34
,"Gallbladder","21080","Oklahoma","40","55-59 years","55-59",30
,"Gallbladder","21080","Oklahoma","40","60-64 years ","60-64",55
,"Gallbladder","21080","Oklahoma","40","65-69 years","65-69",72
,"Gallbladder","21080","Oklahoma","40","70-74 years","70-74",86
,"Gallbladder","21080","Oklahoma","40","75-79 years","75-79",68
,"Gallbladder","21080","Oklahoma","40","80-84 years","80-84",84
,"Gallbladder","21080","Oklahoma","40","85+ years","85+",77
,"Gallbladder","21080","Oregon","41","50-54 years","50-54",23
,"Gallbladder","21080","Oregon","41","55-59 years","55-59",37
,"Gallbladder","21080","Oregon","41","60-64 years ","60-64",68
,"Gallbladder","21080","Oregon","41","65-69 years","65-69",76
,"Gallbladder","21080","Oregon","41","70-74 years","70-74",80
,"Gallbladder","21080","Oregon","41","75-79 years","75-79",100
,"Gallbladder","21080","Oregon","41","80-84 years","80-84",86
,"Gallbladder","21080","Oregon","41","85+ years","85+",98
,"Gallbladder","21080","Pennsylvania","42","40-44 years","40-44",16
,"Gallbladder","21080","Pennsylvania","42","45-49 years","45-49",29
,"Gallbladder","21080","Pennsylvania","42","50-54 years","50-54",73
,"Gallbladder","21080","Pennsylvania","42","55-59 years","55-59",119
,"Gallbladder","21080","Pennsylvania","42","60-64 years ","60-64",182
,"Gallbladder","21080","Pennsylvania","42","65-69 years","65-69",292
,"Gallbladder","21080","Pennsylvania","42","70-74 years","70-74",366
,"Gallbladder","21080","Pennsylvania","42","75-79 years","75-79",394
,"Gallbladder","21080","Pennsylvania","42","80-84 years","80-84",377
,"Gallbladder","21080","Pennsylvania","42","85+ years","85+",498
,"Gallbladder","21080","Rhode Island","44","65-69 years","65-69",27
,"Gallbladder","21080","Rhode Island","44","75-79 years","75-79",30
,"Gallbladder","21080","Rhode Island","44","80-84 years","80-84",29
,"Gallbladder","21080","Rhode Island","44","85+ years","85+",38
,"Gallbladder","21080","South Carolina","45","45-49 years","45-49",16
,"Gallbladder","21080","South Carolina","45","50-54 years","50-54",29
,"Gallbladder","21080","South Carolina","45","55-59 years","55-59",56
,"Gallbladder","21080","South Carolina","45","60-64 years ","60-64",68
,"Gallbladder","21080","South Carolina","45","65-69 years","65-69",81
,"Gallbladder","21080","South Carolina","45","70-74 years","70-74",107
,"Gallbladder","21080","South Carolina","45","75-79 years","75-79",92
,"Gallbladder","21080","South Carolina","45","80-84 years","80-84",82
,"Gallbladder","21080","South Carolina","45","85+ years","85+",81
,"Gallbladder","21080","South Dakota","46","65-69 years","65-69",16
,"Gallbladder","21080","South Dakota","46","75-79 years","75-79",28
,"Gallbladder","21080","South Dakota","46","80-84 years","80-84",30
,"Gallbladder","21080","South Dakota","46","85+ years","85+",34
,"Gallbladder","21080","Tennessee","47","50-54 years","50-54",35
,"Gallbladder","21080","Tennessee","47","55-59 years","55-59",65
,"Gallbladder","21080","Tennessee","47","60-64 years ","60-64",97
,"Gallbladder","21080","Tennessee","47","65-69 years","65-69",100
,"Gallbladder","21080","Tennessee","47","70-74 years","70-74",114
,"Gallbladder","21080","Tennessee","47","75-79 years","75-79",115
,"Gallbladder","21080","Tennessee","47","80-84 years","80-84",79
,"Gallbladder","21080","Tennessee","47","85+ years","85+",110
,"Gallbladder","21080","Texas","48","40-44 years","40-44",49
,"Gallbladder","21080","Texas","48","45-49 years","45-49",119
,"Gallbladder","21080","Texas","48","50-54 years","50-54",203
,"Gallbladder","21080","Texas","48","55-59 years","55-59",299
,"Gallbladder","21080","Texas","48","60-64 years ","60-64",370
,"Gallbladder","21080","Texas","48","65-69 years","65-69",452
,"Gallbladder","21080","Texas","48","70-74 years","70-74",531
,"Gallbladder","21080","Texas","48","75-79 years","75-79",480
,"Gallbladder","21080","Texas","48","80-84 years","80-84",370
,"Gallbladder","21080","Texas","48","85+ years","85+",443
,"Gallbladder","21080","Utah","49","60-64 years ","60-64",19
,"Gallbladder","21080","Utah","49","65-69 years","65-69",29
,"Gallbladder","21080","Utah","49","70-74 years","70-74",31
,"Gallbladder","21080","Utah","49","75-79 years","75-79",38
,"Gallbladder","21080","Utah","49","80-84 years","80-84",23
,"Gallbladder","21080","Utah","49","85+ years","85+",41
,"Gallbladder","21080","Virginia","51","45-49 years","45-49",31
,"Gallbladder","21080","Virginia","51","50-54 years","50-54",49
,"Gallbladder","21080","Virginia","51","55-59 years","55-59",75
,"Gallbladder","21080","Virginia","51","60-64 years ","60-64",120
,"Gallbladder","21080","Virginia","51","65-69 years","65-69",135
,"Gallbladder","21080","Virginia","51","70-74 years","70-74",183
,"Gallbladder","21080","Virginia","51","75-79 years","75-79",146
,"Gallbladder","21080","Virginia","51","80-84 years","80-84",164
,"Gallbladder","21080","Virginia","51","85+ years","85+",155
,"Gallbladder","21080","Washington","53","45-49 years","45-49",21
,"Gallbladder","21080","Washington","53","50-54 years","50-54",38
,"Gallbladder","21080","Washington","53","55-59 years","55-59",61
,"Gallbladder","21080","Washington","53","60-64 years ","60-64",111
,"Gallbladder","21080","Washington","53","65-69 years","65-69",103
,"Gallbladder","21080","Washington","53","70-74 years","70-74",127
,"Gallbladder","21080","Washington","53","75-79 years","75-79",146
,"Gallbladder","21080","Washington","53","80-84 years","80-84",142
,"Gallbladder","21080","Washington","53","85+ years","85+",161
,"Gallbladder","21080","West Virginia","54","55-59 years","55-59",18
,"Gallbladder","21080","West Virginia","54","60-64 years ","60-64",29
,"Gallbladder","21080","West Virginia","54","65-69 years","65-69",41
,"Gallbladder","21080","West Virginia","54","70-74 years","70-74",37
,"Gallbladder","21080","West Virginia","54","75-79 years","75-79",53
,"Gallbladder","21080","West Virginia","54","80-84 years","80-84",50
,"Gallbladder","21080","West Virginia","54","85+ years","85+",54
,"Gallbladder","21080","Wisconsin","55","45-49 years","45-49",16
,"Gallbladder","21080","Wisconsin","55","50-54 years","50-54",30
,"Gallbladder","21080","Wisconsin","55","55-59 years","55-59",58
,"Gallbladder","21080","Wisconsin","55","60-64 years ","60-64",83
,"Gallbladder","21080","Wisconsin","55","65-69 years","65-69",102
,"Gallbladder","21080","Wisconsin","55","70-74 years","70-74",129
,"Gallbladder","21080","Wisconsin","55","75-79 years","75-79",168
,"Gallbladder","21080","Wisconsin","55","80-84 years","80-84",149
,"Gallbladder","21080","Wisconsin","55","85+ years","85+",217
,"Kidney and Renal Pelvis","29020","Alabama","01","35-39 years","35-39",30
,"Kidney and Renal Pelvis","29020","Alabama","01","40-44 years","40-44",62
,"Kidney and Renal Pelvis","29020","Alabama","01","45-49 years","45-49",160
,"Kidney and Renal Pelvis","29020","Alabama","01","50-54 years","50-54",269
,"Kidney and Renal Pelvis","29020","Alabama","01","55-59 years","55-59",466
,"Kidney and Renal Pelvis","29020","Alabama","01","60-64 years ","60-64",552
,"Kidney and Renal Pelvis","29020","Alabama","01","65-69 years","65-69",649
,"Kidney and Renal Pelvis","29020","Alabama","01","70-74 years","70-74",676
,"Kidney and Renal Pelvis","29020","Alabama","01","75-79 years","75-79",681
,"Kidney and Renal Pelvis","29020","Alabama","01","80-84 years","80-84",576
,"Kidney and Renal Pelvis","29020","Alabama","01","85+ years","85+",617
,"Kidney and Renal Pelvis","29020","Alaska","02","45-49 years","45-49",21
,"Kidney and Renal Pelvis","29020","Alaska","02","50-54 years","50-54",45
,"Kidney and Renal Pelvis","29020","Alaska","02","55-59 years","55-59",51
,"Kidney and Renal Pelvis","29020","Alaska","02","60-64 years ","60-64",46
,"Kidney and Renal Pelvis","29020","Alaska","02","65-69 years","65-69",68
,"Kidney and Renal Pelvis","29020","Alaska","02","70-74 years","70-74",82
,"Kidney and Renal Pelvis","29020","Alaska","02","75-79 years","75-79",69
,"Kidney and Renal Pelvis","29020","Alaska","02","80-84 years","80-84",50
,"Kidney and Renal Pelvis","29020","Alaska","02","85+ years","85+",34
,"Kidney and Renal Pelvis","29020","Arizona","04","30-34 years","30-34",19
,"Kidney and Renal Pelvis","29020","Arizona","04","35-39 years","35-39",35
,"Kidney and Renal Pelvis","29020","Arizona","04","40-44 years","40-44",72
,"Kidney and Renal Pelvis","29020","Arizona","04","45-49 years","45-49",185
,"Kidney and Renal Pelvis","29020","Arizona","04","50-54 years","50-54",311
,"Kidney and Renal Pelvis","29020","Arizona","04","55-59 years","55-59",534
,"Kidney and Renal Pelvis","29020","Arizona","04","60-64 years ","60-64",700
,"Kidney and Renal Pelvis","29020","Arizona","04","65-69 years","65-69",820
,"Kidney and Renal Pelvis","29020","Arizona","04","70-74 years","70-74",839
,"Kidney and Renal Pelvis","29020","Arizona","04","75-79 years","75-79",923
,"Kidney and Renal Pelvis","29020","Arizona","04","80-84 years","80-84",816
,"Kidney and Renal Pelvis","29020","Arizona","04","85+ years","85+",864
,"Kidney and Renal Pelvis","29020","Arkansas","05","35-39 years","35-39",23
,"Kidney and Renal Pelvis","29020","Arkansas","05","40-44 years","40-44",44
,"Kidney and Renal Pelvis","29020","Arkansas","05","45-49 years","45-49",110
,"Kidney and Renal Pelvis","29020","Arkansas","05","50-54 years","50-54",214
,"Kidney and Renal Pelvis","29020","Arkansas","05","55-59 years","55-59",339
,"Kidney and Renal Pelvis","29020","Arkansas","05","60-64 years ","60-64",395
,"Kidney and Renal Pelvis","29020","Arkansas","05","65-69 years","65-69",495
,"Kidney and Renal Pelvis","29020","Arkansas","05","70-74 years","70-74",512
,"Kidney and Renal Pelvis","29020","Arkansas","05","75-79 years","75-79",470
,"Kidney and Renal Pelvis","29020","Arkansas","05","80-84 years","80-84",391
,"Kidney and Renal Pelvis","29020","Arkansas","05","85+ years","85+",459
,"Kidney and Renal Pelvis","29020","California","06","1-4 years","1-4",41
,"Kidney and Renal Pelvis","29020","California","06","5-9 years","5-9",59
,"Kidney and Renal Pelvis","29020","California","06","10-14 years","10-14",16
,"Kidney and Renal Pelvis","29020","California","06","15-19 years","15-19",24
,"Kidney and Renal Pelvis","29020","California","06","20-24 years","20-24",34
